@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-15 {0,1,2,3,4,5,6,7,8,9,10}

@data
4998,'2020/03/29 19:05:33:737',6,-153.015594,223.270065,54.765377,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
4999,'2020/03/29 19:05:33:761',6,-152.323334,220.325409,53.608608,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5000,'2020/03/29 19:05:33:772',6,-151.481567,217.363083,52.622696,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5001,'2020/03/29 19:05:33:790',6,-150.348633,214.244843,51.908829,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5002,'2020/03/29 19:05:33:805',6,-149.068146,211.134979,51.535419,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5003,'2020/03/29 19:05:33:824',6,-147.71347,208.2005,51.388187,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5004,'2020/03/29 19:05:33:840',6,-146.39325,205.745193,51.416256,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5005,'2020/03/29 19:05:33:857',6,-145.430862,204.143692,51.567802,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5006,'2020/03/29 19:05:33:875',6,-144.871033,203.396744,51.790863,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5007,'2020/03/29 19:05:33:891',6,-144.4608,203.311661,51.953449,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5008,'2020/03/29 19:05:33:916',6,-144.237427,203.778107,52.262535,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5009,'2020/03/29 19:05:33:929',6,-144.29068,204.891083,52.298954,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
