@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}

@data
39,'2020/04/15 17:22:16:269',1,0.608818,0.527302,357.763458,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
40,'2020/04/15 17:22:16:293',1,0.610479,0.527302,0.093904,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
41,'2020/04/15 17:22:16:326',1,0.610479,0.527302,0.093904,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
42,'2020/04/15 17:22:16:359',1,0.610479,0.527302,357.296478,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
43,'2020/04/15 17:22:16:389',1,0.610479,0.527302,357.296478,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
44,'2020/04/15 17:22:16:441',1,0.610479,0.527302,357.296478,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
45,'2020/04/15 17:22:16:469',1,0.610479,0.527302,0.095,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
46,'2020/04/15 17:22:16:504',1,0.610479,0.527302,0.095,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
47,'2020/04/15 17:22:16:533',1,0.610479,0.527302,357.379059,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
48,'2020/04/15 17:22:16:564',1,0.610479,0.525102,357.379059,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
49,'2020/04/15 17:22:16:595',1,0.612227,0.525102,0.376854,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
50,'2020/04/15 17:22:16:629',1,0.612227,0.525102,357.759033,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
